restart
# ** Note: (vsim-8009) Loading existing optimized design _opt
# Loading work.FIFO_tb_sv_unit(fast)
# Loading work.FIFO_tb(fast)
# Loading work.FIFO_if(fast)
run -all
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 175 	 dout = 0 	
# [780000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 175 	 dout = 0 	
# [820000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 175 	 dout = 82 	
# [820000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 175 	 dout = 82 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [820000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 35 	 dout = 0 	
# [860000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 35 	 dout = 0 	
# [900000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 35 	 dout = 85 	
# [900000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 35 	 dout = 85 	
# [SCO] READ MATCH exp=85 act=85
# [SCO] INFO: Read attempted while FIFO empty
# ----------------------------------------------------
# --------------------------------------------------------------------
# [900000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 166 	 dout = 0 	
# [940000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 166 	 dout = 0 	
# [980000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 166 	 dout = 85 	
# [980000] [SCO] Checking
# [SCO] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 166 	 dout = 85 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [980000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 58 	 dout = 0 	
# [1020000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 58 	 dout = 0 	
# [1060000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 58 	 dout = 85 	
# [1060000] [SCO] Checking
# [SCO] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 58 	 dout = 85 	
# [SCO] REF WRITE 58 (depth=1)
# ** Error: [SCO] EMPTY FLAG WRONG (qsize=1, empty=1)
#    Time: 1060 ns  Scope: FIFO_tb_sv_unit.scoreboard.run File: D:/ghost/Digital/Verification/Udemy - SystemVerilog for Verification Part 2  Projects 2022-9/MINE/FIFO/FIFO_tb.sv Line: 201
# ----------------------------------------------------
# --------------------------------------------------------------------
# [1060000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 185 	 dout = 0 	
# [1100000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 185 	 dout = 0 	
# [1140000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 185 	 dout = 85 	
# [1140000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 185 	 dout = 85 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [1140000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 61 	 dout = 0 	
# [1180000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 61 	 dout = 0 	
# [1220000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 61 	 dout = 58 	
# [1220000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 61 	 dout = 58 	
# [SCO] READ MATCH exp=58 act=58
# [SCO] INFO: Read attempted while FIFO empty
# ----------------------------------------------------
# --------------------------------------------------------------------
# [1220000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 176 	 dout = 0 	
# [1260000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 176 	 dout = 0 	
# [1300000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 176 	 dout = 58 	
# [1300000] [SCO] Checking
# [SCO] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 176 	 dout = 58 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [1300000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 52 	 dout = 0 	
# [1340000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 52 	 dout = 0 	
# [1380000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 52 	 dout = 58 	
# [1380000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 52 	 dout = 58 	
# [SCO] INFO: Read attempted while FIFO empty
# ----------------------------------------------------
# --------------------------------------------------------------------
# [1380000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 139 	 dout = 0 	
# [1420000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 139 	 dout = 0 	
# [1460000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 139 	 dout = 58 	
# [1460000] [SCO] Checking
# [SCO] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 139 	 dout = 58 	
# [SCO] REF WRITE 139 (depth=1)
# ** Error: [SCO] EMPTY FLAG WRONG (qsize=1, empty=1)
#    Time: 1460 ns  Scope: FIFO_tb_sv_unit.scoreboard.run File: D:/ghost/Digital/Verification/Udemy - SystemVerilog for Verification Part 2  Projects 2022-9/MINE/FIFO/FIFO_tb.sv Line: 201
# ----------------------------------------------------
# --------------------------------------------------------------------
# [1460000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 15 	 dout = 0 	
# [1500000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 15 	 dout = 0 	
# [1540000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 15 	 dout = 58 	
# [1540000] [SCO] Checking
# [SCO] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 15 	 dout = 58 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [1540000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 130 	 dout = 0 	
# [1580000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 130 	 dout = 0 	
# [1620000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 130 	 dout = 58 	
# [1620000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 130 	 dout = 58 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [1620000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 6 	 dout = 0 	
# [1660000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 6 	 dout = 0 	
# [1700000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 6 	 dout = 139 	
# [1700000] [SCO] Checking
# [SCO] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 6 	 dout = 139 	
# [SCO] REF WRITE 6 (depth=1)
# [SCO] READ MATCH exp=139 act=139
# ** Error: [SCO] EMPTY FLAG WRONG (qsize=1, empty=1)
#    Time: 1700 ns  Scope: FIFO_tb_sv_unit.scoreboard.run File: D:/ghost/Digital/Verification/Udemy - SystemVerilog for Verification Part 2  Projects 2022-9/MINE/FIFO/FIFO_tb.sv Line: 201
# ----------------------------------------------------
# --------------------------------------------------------------------
# [1700000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 133 	 dout = 0 	
# [1740000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 133 	 dout = 0 	
# [1780000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 133 	 dout = 139 	
# [1780000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 133 	 dout = 139 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [1780000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 25 	 dout = 0 	
# [1820000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 25 	 dout = 0 	
# [1860000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 25 	 dout = 6 	
# [1860000] [SCO] Checking
# [SCO] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 25 	 dout = 6 	
# [SCO] REF WRITE 25 (depth=1)
# [SCO] READ MATCH exp=6 act=6
# ** Error: [SCO] EMPTY FLAG WRONG (qsize=1, empty=1)
#    Time: 1860 ns  Scope: FIFO_tb_sv_unit.scoreboard.run File: D:/ghost/Digital/Verification/Udemy - SystemVerilog for Verification Part 2  Projects 2022-9/MINE/FIFO/FIFO_tb.sv Line: 201
# ----------------------------------------------------
# --------------------------------------------------------------------
# [1860000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 156 	 dout = 0 	
# [1900000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 156 	 dout = 0 	
# [1940000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 156 	 dout = 6 	
# [1940000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 156 	 dout = 6 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [1940000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 16 	 dout = 0 	
# [1980000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 16 	 dout = 0 	
# [2020000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 16 	 dout = 25 	
# [2020000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 16 	 dout = 25 	
# [SCO] READ MATCH exp=25 act=25
# [SCO] INFO: Read attempted while FIFO empty
# ----------------------------------------------------
# --------------------------------------------------------------------
# [2020000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 151 	 dout = 0 	
# [2060000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 151 	 dout = 0 	
# [2100000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 151 	 dout = 25 	
# [2100000] [SCO] Checking
# [SCO] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 151 	 dout = 25 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [2100000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 107 	 dout = 0 	
# [2140000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 107 	 dout = 0 	
# [2180000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 107 	 dout = 25 	
# [2180000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 107 	 dout = 25 	
# [SCO] INFO: Read attempted while FIFO empty
# ----------------------------------------------------
# --------------------------------------------------------------------
# [2180000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 238 	 dout = 0 	
# [2220000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 238 	 dout = 0 	
# [2260000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 238 	 dout = 25 	
# [2260000] [SCO] Checking
# [SCO] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 238 	 dout = 25 	
# [SCO] REF WRITE 238 (depth=1)
# ** Error: [SCO] EMPTY FLAG WRONG (qsize=1, empty=1)
#    Time: 2260 ns  Scope: FIFO_tb_sv_unit.scoreboard.run File: D:/ghost/Digital/Verification/Udemy - SystemVerilog for Verification Part 2  Projects 2022-9/MINE/FIFO/FIFO_tb.sv Line: 201
# ----------------------------------------------------
# --------------------------------------------------------------------
# [2260000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 98 	 dout = 0 	
# [2300000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 98 	 dout = 0 	
# [2340000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 98 	 dout = 25 	
# [2340000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 98 	 dout = 25 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [2340000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 225 	 dout = 0 	
# [2380000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 225 	 dout = 0 	
# [2420000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 225 	 dout = 238 	
# [2420000] [SCO] Checking
# [SCO] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 225 	 dout = 238 	
# [SCO] READ MATCH exp=238 act=238
# ----------------------------------------------------
# --------------------------------------------------------------------
# [2420000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 101 	 dout = 0 	
# [2460000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 101 	 dout = 0 	
# [2500000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 101 	 dout = 238 	
# [2500000] [SCO] Checking
# [SCO] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 101 	 dout = 238 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [2500000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 248 	 dout = 0 	
# [2540000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 248 	 dout = 0 	
# [2580000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 248 	 dout = 238 	
# [2580000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 248 	 dout = 238 	
# [SCO] INFO: Read attempted while FIFO empty
# ----------------------------------------------------
# --------------------------------------------------------------------
# [2580000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 124 	 dout = 0 	
# [2620000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 124 	 dout = 0 	
# [2660000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 124 	 dout = 238 	
# [2660000] [SCO] Checking
# [SCO] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 124 	 dout = 238 	
# [SCO] REF WRITE 124 (depth=1)
# ** Error: [SCO] EMPTY FLAG WRONG (qsize=1, empty=1)
#    Time: 2660 ns  Scope: FIFO_tb_sv_unit.scoreboard.run File: D:/ghost/Digital/Verification/Udemy - SystemVerilog for Verification Part 2  Projects 2022-9/MINE/FIFO/FIFO_tb.sv Line: 201
# ----------------------------------------------------
# --------------------------------------------------------------------
# [2660000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 243 	 dout = 0 	
# [2700000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 243 	 dout = 0 	
# [2740000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 243 	 dout = 238 	
# [2740000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 243 	 dout = 238 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [2740000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 119 	 dout = 0 	
# [2780000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 119 	 dout = 0 	
# [2820000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 119 	 dout = 124 	
# [2820000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 119 	 dout = 124 	
# [SCO] READ MATCH exp=124 act=124
# [SCO] INFO: Read attempted while FIFO empty
# ----------------------------------------------------
# --------------------------------------------------------------------
# [2820000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 202 	 dout = 0 	
# [2860000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 202 	 dout = 0 	
# [2900000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 202 	 dout = 124 	
# [2900000] [SCO] Checking
# [SCO] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 202 	 dout = 124 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [2900000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 78 	 dout = 0 	
# [2940000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 78 	 dout = 0 	
# [2980000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 78 	 dout = 124 	
# [2980000] [SCO] Checking
# [SCO] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 78 	 dout = 124 	
# [SCO] REF WRITE 78 (depth=1)
# ** Error: [SCO] EMPTY FLAG WRONG (qsize=1, empty=1)
#    Time: 2980 ns  Scope: FIFO_tb_sv_unit.scoreboard.run File: D:/ghost/Digital/Verification/Udemy - SystemVerilog for Verification Part 2  Projects 2022-9/MINE/FIFO/FIFO_tb.sv Line: 201
# ----------------------------------------------------
# --------------------------------------------------------------------
# [2980000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 205 	 dout = 0 	
# [3020000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 205 	 dout = 0 	
# [3060000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 205 	 dout = 124 	
# [3060000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 205 	 dout = 124 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [3060000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 65 	 dout = 0 	
# [3100000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 65 	 dout = 0 	
# [3140000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 65 	 dout = 78 	
# [3140000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 65 	 dout = 78 	
# [SCO] READ MATCH exp=78 act=78
# [SCO] INFO: Read attempted while FIFO empty
# ----------------------------------------------------
# --------------------------------------------------------------------
# [3140000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 196 	 dout = 0 	
# [3180000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 196 	 dout = 0 	
# [3220000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 196 	 dout = 78 	
# [3220000] [SCO] Checking
# [SCO] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 196 	 dout = 78 	
# [SCO] REF WRITE 196 (depth=1)
# ** Error: [SCO] EMPTY FLAG WRONG (qsize=1, empty=1)
#    Time: 3220 ns  Scope: FIFO_tb_sv_unit.scoreboard.run File: D:/ghost/Digital/Verification/Udemy - SystemVerilog for Verification Part 2  Projects 2022-9/MINE/FIFO/FIFO_tb.sv Line: 201
# ----------------------------------------------------
# --------------------------------------------------------------------
